speciesKey,scientificName,matchType,Orig_name,nRecords
1106484,"Nealcidion cereicola (Fisher, 1936)",EXACT,"Nealcidion cereicola (Fisher, 1936)",1
1106307,"Neandra brunnea (Fabricius, 1798)",EXACT,"Neandra brunnea (Fabricius, 1798)",729
10221247,Neaspis variegata,EXACT,Neaspis variegata,6
1161901,"Necrobia ruficollis (Fabricius, 1775)",EXACT,"Necrobia ruficollis (Fabricius, 1775)",643
1161902,"Necrobia rufipes (De Geer, 1775)",EXACT,"Necrobia rufipes (De Geer, 1775)",1526
4448925,"Necrobia violacea (Linnaeus, 1758)",EXACT,"Necrobia violacea (Linnaeus, 1758)",1704
1041499,"Nehemitropia lividipennis (Mannerheim, 1830)",EXACT,"Nehemitropia lividipennis (Mannerheim, 1830)",1600
1048365,"Neltumius arizonensis (Schaeffer, 1904)",EXACT,"Neltumius arizonensis (Schaeffer, 1904)",74
1247433,"Neochetina bruchi Hustache, 1926",EXACT,"Neochetina bruchi Hustache, 1926",56
4290716,"Neochetina eichhorniae Warner, 1970",EXACT,"Neochetina eichhorniae Warner, 1970",57
4293134,"Neoclytus acuminatus (Fabricius, 1775)",EXACT,"Neoclytus acuminatus (Fabricius, 1775)",1575
1137315,"Neocolobura alboplagiata (Blanchard, 1851)",EXACT,"Neocolobura alboplagiata (Blanchard, 1851)",11
4462189,"Neocrepidodera brevicollis (Daniel, 1904)",EXACT,"Neocrepidodera brevicollis (Daniel, 1904)",219
4469101,"Neoderelomus piriformis (Hoffmann, 1938)",EXACT,"Neoderelomus piriformis (Hoffmann, 1938)",0
1047444,"Neogalerucella calmariensis (Linnaeus, 1767)",EXACT,"Neogalerucella calmariensis (Linnaeus, 1767)",1611
1247491,"Neohydronomus affinis Hustache, 1926",EXACT,"Neohydronomus affinis Hustache, 1926",2
1247490,"Neohydronomus pulchellus Hustache, 1926",EXACT,"Neohydronomus pulchellus Hustache, 1926",2
9950850,"Neohypnus andinus (Fauvel, 1866)",EXACT,"Neohypnus andinus (Fauvel, 1866)",0
9261685,"Neolaemosaccus narinus Zimmerman, 1994",EXACT,"Neolaemosaccus narinus Zimmerman, 1994",108
1141588,"Neoplocaederus denticornis (Fabricius, 1801)",EXACT,"Neoplocaederus denticornis (Fabricius, 1801)",17
4435716,"Nephanes titan (Newman, 1834)",EXACT,"Nephanes titan (Newman, 1834)",285
4990154,"Nephus binaevatus (Mulsant, 1850)",EXACT,"Nephus binaevatus (Mulsant, 1850)",24
8236283,"Nephus reunioni (Fürsch, 1974)",EXACT,"Nephus reunioni (Fürsch, 1974)",113
1132788,"Nesoeme kuscheli Linsley & Chemsak, 1966",EXACT,"Nesoeme kuscheli Linsley & Chemsak, 1966",1
4291908,"Nicentrus saccharinus Marshall, 1952",EXACT,"Nicentrus saccharinus Marshall, 1952",2
1095270,"Nicobium castaneum (Olivier, 1790)",EXACT,"Nicobium castaneum (Olivier, 1790)",405
9446553,"Nicobium zuzartei Bercedo & Arnáiz, 2007",EXACT,"Nicobium zuzartei Bercedo & Arnáiz, 2007",0
1147920,"Niphona hookeri Gahan, 1900",EXACT,"Niphona hookeri Gahan, 1900",3
1095760,"Niptus hololeucus (Faldermann, 1835)",EXACT,"Niptus hololeucus (Faldermann, 1835)",895
5749672,"Nitidula bipunctata (Linnaeus, 1758)",EXACT,"Nitidula bipunctata (Linnaeus, 1758)",822
5749668,"Nitidula carnaria (Schaller, 1783)",EXACT,"Nitidula carnaria (Schaller, 1783)",942
8251411,"Nitidula flavomaculata Rossi, 1790",EXACT,"Nitidula flavomaculata Rossi, 1790",149
1035043,"Nomius pygmaeus (Dejean, 1831)",EXACT,"Nomius pygmaeus (Dejean, 1831)",68
9307613,"Nothoderis ridicula (L.Schaufuss, 1879)",EXACT,"Nothoderis ridicula (L.Schaufuss, 1879)",0
9364935,"Notiophilus biguttatus (Fabricius, 1779)",EXACT,"Notiophilus biguttatus (Fabricius, 1779)",17296
10311322,"Notiophilus palustris Sturm, 1826",EXACT,"Notiophilus palustris Sturm, 1826",392
4453224,"Notolaemus unifasciatus (Latreille, 1804)",EXACT,"Notolaemus unifasciatus (Latreille, 1804)",162
1161327,"Nupserha vexator (Pascoe, 1858)",EXACT,"Nupserha vexator (Pascoe, 1858)",1
9165522,"Oberea erythrocephala (Schrank, 1776)",EXACT,"Oberea erythrocephala (Schrank, 1776)",629
1096678,"Oberea pupillata (Gyllenhal, 1817)",EXACT,"Oberea pupillata (Gyllenhal, 1817)",815
4439295,"Ochthephilum fracticorne (Paykull, 1800)",EXACT,"Ochthephilum fracticorne (Paykull, 1800)",1478
4291739,"Ochyromera ligustri Warner, 1961",EXACT,"Ochyromera ligustri Warner, 1961",46
6273748,"Octodonta nipae (Maulik, 1921)",EXACT,"Octodonta nipae (Maulik, 1921)",4
1049379,"Octotoma championi Baly, 1886",EXACT,"Octotoma championi Baly, 1886",46
1049377,"Octotoma scabripennis Guérin-Méneville, 1844",EXACT,"Octotoma scabripennis Guérin-Méneville, 1844",191
5746165,"Ocypus brunnipes (Fabricius, 1781)",EXACT,"Ocypus brunnipes (Fabricius, 1781)",1445
5756814,"Ocys quinquestriatus (Gyllenhal, 1810)",EXACT,"Ocys quinquestriatus (Gyllenhal, 1810)",457
1168776,"Odoiporus longicollis G.A.K.Marshall, 1930",EXACT,"Odoiporus longicollis G.A.K.Marshall, 1930",48
4458521,"Oedemera pthysica (Scopoli, 1763)",EXACT,"Oedemera pthysica (Scopoli, 1763)",713
5877911,"Oenopia conglobata (Linnaeus, 1758)",EXACT,"Oenopia conglobata (Linnaeus, 1758)",6638
4450551,"Ogmoderes angusticollis (Brisout de Barneville, 1861)",EXACT,"Ogmoderes angusticollis (Brisout de Barneville, 1861)",61
9490852,Oides bowringii,EXACT,Oides bowringii,94
6097341,"Oligella foveolata (Allibert, 1844)",EXACT,"Oligella foveolata (Allibert, 1844)",90
7968120,"Oligella intermedia Besuchet, 1971",EXACT,"Oligella intermedia Besuchet, 1971",11
4427193,"Oligomerus ptilinoides (Wollaston, 1854)",EXACT,"Oligomerus ptilinoides (Wollaston, 1854)",238
4443461,"Oligota inflata (Mannerheim, 1830)",EXACT,"Oligota inflata (Mannerheim, 1830)",470
1040045,"Oligota parva Kraatz, 1862",EXACT,"Oligota parva Kraatz, 1862",936
4443464,"Oligota punctulata Heer, 1839",EXACT,"Oligota punctulata Heer, 1839",252
10184201,"Oligotergus fasciatus (Nordmann, 1837)",EXACT,"Oligotergus fasciatus (Nordmann, 1837)",193
4990178,"Olla v-nigrum (Mulsant, 1866)",EXACT,"Olla v-nigrum (Mulsant, 1866)",2505
4444617,"Omalium allardii Fairmaire & Brisout de Barneville, 1859",EXACT,"Omalium allardii Fairmaire & Brisout de Barneville, 1859",84
4444613,"Omalium rugatum Mulsant & Rey, 1880",EXACT,"Omalium rugatum Mulsant & Rey, 1880",954
1046849,"Omonadus floralis (Linnaeus, 1758)",EXACT,"Omonadus floralis (Linnaeus, 1758)",3122
1046843,"Omonadus formicarius (Goeze, 1777)",EXACT,"Omonadus formicarius (Goeze, 1777)",860
1094927,"Omorgus subcarinatus (MacLeay, 1864)",EXACT,"Omorgus subcarinatus (MacLeay, 1864)",131
1094884,"Omorgus suberosus (Fabricius, 1775)",EXACT,"Omorgus suberosus (Fabricius, 1775)",1703
6097319,"Omosita colon (Linnaeus, 1758)",EXACT,"Omosita colon (Linnaeus, 1758)",1865
