scientificName,Taxon,phylum,class
"Lumbrineris perkinsi Carrera-Parra, 2001",Lumbrineris perkinsi,Annelida,Polychaeta
"Lysidice collaris Grube, 1870",Lysidice collaris,Annelida,Polychaeta
"Lysidice unicornis (Grube, 1840)",Lysidice unicornis,Annelida,Polychaeta
"Marphysa sanguinea (Montagu, 1813)",Marphysa sanguinea,Annelida,Polychaeta
"Oenone fulgida (Savigny, 1818)",Oenone fulgida,Annelida,Polychaeta
"Onuphis eremita Audouin & Milne Edwards, 1833",Onuphis eremita,Annelida,Polychaeta
"Onuphis eremita oculata Hartman, 1951",Onuphis eremita oculata,Annelida,Polychaeta
"Onuphis holobranchiata Marenzeller, 1879",Onuphis holobranchiata,Annelida,Polychaeta
"Ophryotrocha adherens Paavo, Bailey-Brock & Akesson, 2000",Ophryotrocha adherens,Annelida,Polychaeta
"Ophryotrocha diadema Åkesson, 1976",Ophryotrocha diadema,Annelida,Polychaeta
"Ophryotrocha japonica Paxton & Åkesson, 2010",Ophryotrocha japonica,Annelida,Polychaeta
"Ophryotrocha labronica Bacci & La Greca, 1961",Ophryotrocha labronica,Annelida,Polychaeta
"Palola valida (Gravier, 1900)",Palola valida,Annelida,Polychaeta
"Paucibranchia adenensis (Gravier, 1900)",Paucibranchia adenensis,Annelida,Polychaeta
"Paucibranchia disjuncta (Hartman, 1961)",Paucibranchia disjuncta,Annelida,Polychaeta
"Protodorvillea biarticulata Day, 1963",Protodorvillea biarticulata,Annelida,Polychaeta
"Protodorvillea egena (Ehlers, 1913)",Protodorvillea egena,Annelida,Polychaeta
"Schistomeringos rudolphi (Delle Chiaje, 1828)",Schistomeringos rudolphi,Annelida,Polychaeta
"Scoletoma debilis (Grube, 1878)",Scoletoma debilis,Annelida,Polychaeta
"Alitta succinea (Leuckart, 1847)",Alitta succinea,Annelida,Polychaeta
"Alitta virens (M.Sars, 1835)",Alitta virens,Annelida,Polychaeta
"Amblyosyllis speciosa Izuka, 1912",Amblyosyllis speciosa,Annelida,Polychaeta
