scientificName,Taxon_origName
Apocorophium lacustre,Apocorophium lacustre
Apocyclops panamensis,Apocyclops panamensis
Apoglossum gregarium,Apoglossum gregarium
Apogon atradorsatus,Apogon atradorsatus
Apogonichthyoides nigripinnis,Apogonichthyoides nigripinnis
Apogonichthyoides pharaonis,Apogonichthyoides pharaonis
Apogonichthyoides taeniatus,Apogonichthyoides taeniatus
Apolemichthys arcuatus,Apolemichthys arcuatus
Apolemichthys trimaculatus,Apolemichthys trimaculatus
Apolemichthys xanthopunctatus,Apolemichthys xanthopunctatus
Aporrhais pespelecani,Aporrhais pespelecani
Aptenodytes patagonicus,Aptenodytes patagonicus
Aquilonastra burtoni,Aquilonastra burtoni
Aracia riwo,Aracia
Aracia sinaloae,Aracia
Aracia heterobranchiata,Aracia
Aramides cajanea,Aramides cajanea
Arbopercula angulata,Arbopercula angulata
Arbopercula bengalensis,Arbopercula bengalensis
Arbopercula tenella,Arbopercula tenella
Arcania brevifrons,Arcania brevifrons
Archaias angulatus,Archaias angulatus
Archesola typhlops pontoica,Archesola typhlops
Archesola typhlops,Archesola typhlops
Arctapodema australis,Arctapodema australis
Arcuatula perfragilis,Arcuatula perfragilis
Arcuatula senhousia,Arcuatula senhousia
Ardea alba modesta,Ardea alba
Ardea goliath,Ardea goliath
Ardeola bacchus,Ardeola bacchus
Arenigobius bifrenatus,Arenigobius bifrenatus
Argopecten irradians,Argopecten irradians
Argopecten irradians concentricus,Argopecten irradians
Argopecten irradians amplicostatus,Argopecten irradians
Arhynchite arhynchite,Arhynchite arhynchite
Arietellus pavoninus,Arietellus pavoninus
Armeria maritima,Armeria maritima
Arothron diadematus,Arothron diadematus
Artemia salina,Artemia
Artemia salina,Artemia salina
Artemisia maritima,Artemisia maritima
Arthrocladia villosa,Arthrocladia villosa
Articulina mayori,Articulina mayori
Articulina pacifica,Articulina pacifica
Ascidia archaia,Ascidia archaia
Ascidia curvata,Ascidia curvata
Ascidia interrupta,Ascidia interrupta
Ascidia sydneiensis,Ascidia sydneiensis
Ascidia zara,Ascidia zara
Ascidiella aspersa,Ascidiella aspersa
Ascidiella scabra,Ascidiella scabra
Myrionema orbiculare,Ascocyclus orbicularis
Ascophyllum nodosum,Ascophyllum nodosum
Ascophyllum nodosum f. mackayi,Ascophyllum nodosum
Ashtoret lunaris,Ashtoret lunaris
Asparagopsis armata,Asparagopsis armata
Asparagopsis taxiformis,Asparagopsis taxiformis
Asperococcus bullosus,Asperococcus bullosus
Asperococcus ensiformis,Asperococcus ensiformis
Aspidelectra melolontha,Aspidelectra melolontha
Aspidosiphon (Aspidosiphon) elegans,Aspidosiphon elegans
Assiminea parasitologica,Assiminea parasitologica
Astacolus insolitus,Astacolus insolitus
Asterias amurensis,Asterias amurensis
Asterias rubens,Asterias rubens
Asterionella glacialis,Asterionella glacialis
Asterocarpa humilis,Asterocarpa humilis
Asthenognathus atlanticus,Asthenognathus atlanticus
Astropecten polyacanthus,Astropecten polyacanthus
Astropecten polyacanthus phragmorus,Astropecten polyacanthus
Astrostole scabra,Astrostole scabra
Atactodea striata,Atactodea striata
Atergatis roseus,Atergatis roseus
Atherina boyeri,Atherina boyeri
Atherinomorus forskalii,Atherinomorus forskalii
Atherinomorus lacunosus,Atherinomorus lacunosus
Atractosteus spatula,Atractosteus spatula
Atrina rigida,Atrina rigida
Atriplex littoralis,Atriplex littoralis
Attheya decora,Attheya decora
Atyaephyra desmarestii,Atyaephyra desmarestii
Weinkauffia macandrewii,Atys macandrewii
Aulacomya atra,Aulacomya atra
Aulacomya atra atra,Aulacomya atra
Aurelia aurita,Aurelia aurita
Aurelia coerulea,Aurelia coerulea
Aurelia solida,Aurelia solida
Austrobalanus imperator,Austrobalanus imperator
Austromegabalanus cylindricus,Austromegabalanus cylindricus
Austromegabalanus nigrescens,Austromegabalanus nigrescens
Austromegabalanus psittacus,Austromegabalanus psittacus
Austrominius modestus,Austrominius modestus
Austrovenus stutchburyi,Austrovenus stutchburyi
Avicennia marina,Avicennia marina
Avicennia marina subsp. eucalyptifolia,Avicennia marina
Avrainvillea amadelpha,Avrainvillea amadelpha
Avrainvillea amadelpha f. submersa,Avrainvillea amadelpha
Aythya americana,Aythya americana
Aythya collaris,Aythya collaris
Aythya ferina,Aythya ferina
Aythya fuligula,Aythya fuligula
Aythya nyroca,Aythya nyroca
Aythya valisineria,Aythya valisineria
Azadinium spinosum,Azadinium spinosum
Babka gymnotrachelus,Babka gymnotrachelus
Baccharis halimifolia,Baccharis halimifolia
Vibrio paxillifer,Bacillaria paxillifera
Bacopa monnieri,Bacopa monnieri
Bacteriastrum comosum,Bacteriastrum comosum
Bacteriastrum hyalinum,Bacteriastrum hyalinum
Baeolidia moebii,Baeolidia moebii
Bairdiella icistia,Bairdiella icistia
Balanus crenatus crenatus,Balanus crenatus crenatus
Balanus glandula,Balanus glandula
Balanus trigonus,Balanus trigonus
Balistoides conspicillum,Balistoides conspicillum
Ballerus ballerus,Ballerus ballerus
Ballerus sapa,Ballerus sapa
Bankia bipalmulata,Bankia bipalmulata
Bankia carinata,Bankia carinata
Bankia martensi,Bankia martensi
Bantariella bocki,Bantariella bocki
Barantolla lepte,Barantolla lepte
Barbatia domingensis,Barbatia domingensis
Barbatia trapezina,Barbatia trapezina
Barentsia benedeni,Barentsia benedeni
Barentsia matsushimana,Barentsia matsushimana
Barnardomelita matilda,Barnardomelita matilda
Barnea truncata,Barnea truncata
Barringtonia asiatica,Barringtonia asiatica
Barringtonia racemosa,Barringtonia racemosa
Batillaria attramentaria,Batillaria attramentaria
Batis maritima,Batis maritima
Batzella aurantiaca,Batzella aurantiaca
Beania mirabilis,Beania mirabilis
Bedeva paivae,Bedeva paivae
Bela menkhorsti,Bela menkhorsti
Belonesox belizanus,Belonesox belizanus
Belzebub hanseni,Belzebub hanseni
Bemlos leptocheirus,Bemlos leptocheirus
Benthophilus stellatus,Benthophilus stellatus
Beroe cucumis,Beroe cucumis
Beroe ovata,Beroe ovata
Berthellina citrina,Berthellina citrina
Beryx splendens,Beryx splendens
Beta vulgaris,Beta vulgaris
Beta vulgaris subsp. maritima,Beta vulgaris
Biddulphia sinensis,Biddulphia sinensis
Biflustra grandicella,Biflustra grandicella
Biflustra savartii,Biflustra savartii
Bimastos rubidus,Bimastos rubidus
Bimeria vestita,Bimeria vestita
Bispira fabricii,Bispira fabricii
Bispira polyomma,Bispira polyomma
Bistolida hirundo,Bistolida hirundo
Bistolida hirundo neglecta,Bistolida hirundo
Biuve fulvipunctata,Biuve fulvipunctata
Bivetiella cancellata,Bivetiella cancellata
Blackfordia virginica,Blackfordia virginica
Blepharocysta paulsenii,Blepharocysta paulsenii
Blicca bjoerkna,Blicca bjoerkna
Blutaparon vermiculare,Blutaparon vermiculare
Boa constrictor,Boa constrictor
Boccardia polybranchia,Boccardia polybranchia
Boccardia proboscidea,Boccardia proboscidea
Boccardia pseudonatrix,Boccardia pseudonatrix
Boccardiella hamata,Boccardiella hamata
Boccardiella ligerica,Boccardiella ligerica
Bodianus pulchellus,Bodianus pulchellus
Bolboschoenus maritimus,Bolboschoenus maritimus
Bolboschoenus robustus,Bolboschoenus robustus
Bolinopsis vitrea,Bolinopsis vitrea
Bolinus brandaris,Bolinus brandaris
Boloceroides mcmurrichi,Boloceroides mcmurrichi
Bombycilla garrulus,Bombycilla garrulus
Bonnemaisonia asparagoides,Bonnemaisonia asparagoides
Bonnemaisonia hamifera,Bonnemaisonia hamifera
Boonea bisuturalis,Boonea bisuturalis
Boreadinium pisiforme,Boreadinium pisiforme
Borelis schlumbergeri,Borelis schlumbergeri
Borrichia frutescens,Borrichia frutescens
Bostrichobranchus digonas,Bostrichobranchus digonas
Bostrichobranchus pilularis,Bostrichobranchus pilularis
Bostrycapulus aculeatus,Bostrycapulus aculeatus
Bostrycapulus odites,Bostrycapulus odites
Botrylloides anceps,Botrylloides anceps
Botrylloides diegensis,Botrylloides diegensis
Botrylloides giganteum,Botrylloides giganteum
Botrylloides leachii,Botrylloides leachii
Botrylloides niger,Botrylloides niger
Botrylloides simodensis,Botrylloides simodensis
Botrylloides violaceus,Botrylloides violaceus
Botryllus perspicuum,Botryllus perspicuum
Botryllus planus,Botryllus planus
Botryllus schlosseri,Botryllus schlosseri
Botryllus tuberatus,Botryllus tuberatus
Botryocladia madagascariensis,Botryocladia madagascariensis
Botryocladia wrightii,Botryocladia wrightii
Botrytella micromora,Botrytella micromora
Botrytella parva,Botrytella parva
Bougainvillia macloviana,Bougainvillia macloviana
Bougainvillia muscus,Bougainvillia muscus
Bougainvillia rugosa,Bougainvillia rugosa
Boveria teredinidi,Boveria teredinidi
Brachidontes exustus,Brachidontes exustus
Brachidontes pharaonis,Brachidontes pharaonis
Brachidontes striatulus,Brachidontes striatulus
Brachidontes variabilis,Brachidontes variabilis
Brachionus plicatilis,Brachionus plicatilis
Brachygobius xanthozonus,Brachygobius xanthozonus
Brachynotus sexdentatus,Brachynotus sexdentatus
Branchiomma bairdi,Branchiomma bairdi
Branchiomma bombyx,Branchiomma bombyx
Branchiomma cingulatum,Branchiomma cingulatum
Branchiomma curtum,Branchiomma curtum
Branchiomma luctuosum,Branchiomma luctuosum
Branchiomma nigromaculatum,Branchiomma nigromaculatum
Branchiosyllis exilis,Branchiosyllis exilis
Branta bernicla,Branta bernicla
Branta canadensis,Branta canadensis
Branta hutchinsii,Branta hutchinsii
Branta leucopsis,Branta leucopsis
Branta ruficollis,Branta ruficollis
Bregmaceros atlanticus,Bregmaceros atlanticus
Bregmaceros nectabanus,Bregmaceros nectabanus
Bruguiera gymnorrhiza,Bruguiera gymnorhiza
Bruguiera parviflora,Bruguiera parviflora
Bruguiera sexangula,Bruguiera sexangula
Bryopsis pennata,Bryopsis pennata
Bryopsis pennata var. leprieurii,Bryopsis pennata
Bryopsis pennata var. secunda,Bryopsis pennata
Bubalus bubalis,Bubalus bubalis
Bubo magellanicus,Bubo magellanicus
Bubo virginianus,Bubo virginianus
Bucephala albeola,Bucephala albeola
Bucephala islandica,Bucephala islandica
Bugula minima,Bugula minima
Bugula neritina,Bugula neritina
Bugulina calathus,Bugulina calathus
Bugulina flabellata,Bugulina flabellata
Bugulina fulva,Bugulina fulva
Bugulina simplex,Bugulina simplex
Bugulina stolonifera,Bugulina stolonifera
Bulla ampulla,Bulla ampulla
Bunodactis reynaudi,Bunodactis reynaudi
Bursatella leachii,Bursatella leachii
Bursatella leachii,Bursatella leachii leachii
Buskia socialis,Buskia socialis
Buteogallus anthracinus,Buteogallus anthracinus
Butis koilomatodon,Butis koilomatodon
Butorides striata,Butorides striata
Bythocaris cosmetops,Bythocaris cosmetops
Bythotrephes longimanus,Bythotrephes longimanus
Caberea boryi,Caberea boryi
Cacatua galerita,Cacatua galerita
Caecijaera horvathi,Caecijaera horvathi
Caesio varilineata,Caesio varilineata
Caiman crocodilus,Caiman crocodilus
Cairina moschata,Cairina moschata
Cakile maritima,Cakile maritima
Calamus calamus,Calamus
Calamus leucosteus,Calamus
Calamus nodosus,Calamus
Calamus pennatula,Calamus
Calamus bajonado,Calamus
Calamus proridens,Calamus
Calamus arctifrons,Calamus
Calamus penna,Calamus
Calamus taurinus,Calamus
Calamus brachysomus,Calamus
Calamus mu,Calamus
Calamus campechanus,Calamus
Calamus cervigoni,Calamus
Calanopia biloba,Calanopia biloba
Calanopia elliptica,Calanopia elliptica
Calanopia media,Calanopia media
Calanopia minor,Calanopia minor
Calanus euxinus,Calanus euxinus
Calappa hepatica,Calappa hepatica
Calappa pelii,Calappa pelii
Calcinus tubularis,Calcinus tubularis
Callinectes bocourti,Callinectes bocourti
Callinectes danae,Callinectes danae
Callinectes sapidus,Callinectes sapidus
Callionymus filamentosus,Callionymus filamentosus
Callionymus lyra,Callionymus lyra
Calliostoma zizyphinum,Calliostoma zizyphinum
Callista florida,Callista florida
Aglaothamnion tenuissimum,Callithamnion tenuissimum
Callithamnion tetragonum,Callithamnion tetragonum
Calloplesiops altivelis,Calloplesiops altivelis
Callopora lineata,Callopora lineata
Callorhinus ursinus,Callorhinus ursinus
Callyspongia (Toxochalina) robusta,Callyspongia robusta
Calocalanus pavo,Calocalanus pavo
Calocalanus pavoninus,Calocalanus pavoninus
Calocalanus plumulosus,Calocalanus plumulosus
Calocalanus tenuis,Calocalanus tenuis
Caloria elegans,Caloria elegans
Caloria indica,Caloria indica
Calotes versicolor,Calotes versicolor
Calyptraea chinensis,Calyptraea chinensis
Canarium mutabile,Canarium mutabile
Cancer irroratus,Cancer irroratus
Cancer pagurus,Cancer pagurus
Cantharus tranquebaricus,Cantharus tranquebaricus
Capitella capitata,Capitella capitata
Capitella capitata europaea,Capitella capitata
Capitella capitata capitata,Capitella capitata
Capitella capitata tripartita,Capitella capitata
Capitella capitata oculata,Capitella capitata
Capitella giardi,Capitella giardi
Capitella jonesi,Capitella jonesi
Capitellethus dispar,Capitellethus dispar
Caprella andreae,Caprella andreae
Caprella danilevskii,Caprella danilevskii
Caprella drepanochir,Caprella drepanochir
Caprella equilibra,Caprella equilibra
Caprella mutica,Caprella mutica
Caprella penantis,Caprella penantis
Caprella scaura,Caprella scaura
Caprella scauroides,Caprella scauroides
Caprella simia,Caprella simia
Caracara cheriway,Caracara cheriway
Caranx caballus,Caranx caballus
Carassius auratus,Carassius auratus
Carassius carassius,Carassius carassius
